skills,cgpa,career
"linux, penetration testing, cryptography, networking, incident response, ethical hacking, siem, firewalls, risk assessment, security",8.25,Cyber Security Analyst
"ethical hacking, security, cryptography, incident response, risk assessment, siem, networking",6.3,Cyber Security Analyst
"azure, terraform, ci/cd, kubernetes, devops, linux, networking, monitoring, aws, docker",8.42,Cloud Engineer
"computer vision, python, data preprocessing, tensorflow, sql, mathematics, pytorch, data visualization",9.03,AI Engineer
"devops, aws, kubernetes, linux, docker, azure, ci/cd, terraform, networking",8.91,Cloud Engineer
"python, machine learning, statistics, pandas, hypothesis testing, scikit-learn, numpy, sql, feature engineering",6.75,Data Scientist
"excel, statistics, reporting, python, data visualization, pandas",8.44,Data Analyst
"networking, firewalls, incident response, penetration testing, risk assessment, ethical hacking, linux",7.06,Cyber Security Analyst
"data preprocessing, nlp, pytorch, python, tensorflow, mathematics, computer vision, deep learning, machine learning, neural networks",9.32,AI Engineer
"oop, python, java, debugging, algorithms, software design, problem solving, testing, git",7.21,Software Developer
"networking, linux, aws, ci/cd, devops, monitoring, docker",7.13,Cloud Engineer
"django, java, api development, machine learning, node.js, python, sql, system design",8.7,Backend Developer
"api development, node.js, flask, databases, java, python, authentication, django, sql, system design",7.5,Backend Developer
"css, javascript, web performance, responsive design, html, redux, accessibility",7.64,Frontend Developer
"css, javascript, accessibility, react, responsive design, redux",6.09,Frontend Developer
"flask, system design, authentication, api development, node.js, python, django, sql, databases, java",6.01,Backend Developer
"data visualization, sql, python, data cleaning, pandas, power bi, reporting, statistics, excel",6.95,Data Analyst
"problem solving, testing, debugging, java, python, data structures, git, algorithms, software design, oop",6.96,Software Developer
"tensorflow, python, neural networks, machine learning, mathematics, deep learning, pytorch, computer vision",9.7,AI Engineer
"ci/cd, linux, networking, aws, docker, monitoring, kubernetes, azure, terraform",6.71,Cloud Engineer
"scikit-learn, data visualization, hypothesis testing, machine learning, numpy, statistics, feature engineering, python, pandas",7.87,Data Scientist
"sql, python, excel, tableau, pandas, statistics",7.65,Data Analyst
"java, git, debugging, python, data structures, problem solving, testing, docker, software design, algorithms, kubernetes, oop",9.22,Software Developer
"kubernetes, monitoring, devops, linux, terraform, scikit-learn, aws, docker",7.98,Cloud Engineer
"typescript, accessibility, html, javascript, react, css, web performance",6.81,Frontend Developer
"data preprocessing, computer vision, tensorflow, neural networks, nlp, cryptography, python, deep learning",9.17,AI Engineer
"java, data structures, algorithms, git, debugging, oop, testing",6.65,Software Developer
"terraform, ci/cd, incident response, aws, kubernetes, devops, docker, monitoring",7.25,Cloud Engineer
"scikit-learn, numpy, machine learning, data visualization, feature engineering, statistics, hypothesis testing, pandas, python",9.55,Data Scientist
"pandas, numpy, scikit-learn, feature engineering, statistics, machine learning, hypothesis testing, data visualization",8.02,Data Scientist
"tableau, sql, statistics, reporting, excel, data cleaning, python, power bi, pandas",8.9,Data Analyst
"javascript, html, ui design, web performance, react, redux, css, typescript, accessibility, responsive design",8.35,Frontend Developer
"flask, system design, django, python, authentication, java, sql, node.js, api development, databases",7.47,Backend Developer
"reporting, statistics, python, sql, risk assessment, excel, linux, data visualization, tableau",6.46,Data Analyst
"machine learning, feature engineering, sql, numpy, accessibility, python, data visualization",8.12,Data Scientist
"python, pandas, data visualization, machine learning, numpy, scikit-learn, api development, feature engineering, flask",8.07,Data Scientist
"web performance, responsive design, redux, typescript, accessibility, ui design, css, react",8.44,Frontend Developer
"oop, java, algorithms, problem solving, git, data structures, python, testing",9.12,Software Developer
"mathematics, tensorflow, data preprocessing, computer vision, neural networks, deep learning, pytorch, nlp, machine learning, python",6.9,AI Engineer
"oop, debugging, git, testing, software design, python, algorithms",6.73,Software Developer
"linux, aws, devops, docker, terraform, kubernetes, networking, typescript",8.26,Cloud Engineer
"react, javascript, accessibility, ui design, typescript, responsive design, redux, css, web performance",6.06,Frontend Developer
"data visualization, sql, statistics, pandas, data cleaning, tableau, power bi, excel, python, reporting",8.49,Data Analyst
"css, ui design, typescript, responsive design, accessibility, javascript, web performance",8.24,Frontend Developer
"python, sql, data visualization, feature engineering, pandas, numpy",7.55,Data Scientist
"testing, problem solving, debugging, software design, java, algorithms, git, oop",7.41,Software Developer
"statistics, sql, pandas, feature engineering, data visualization, python, numpy, scikit-learn, hypothesis testing, machine learning",8.75,Data Scientist
"cryptography, firewalls, siem, incident response, penetration testing, security, risk assessment, networking, ethical hacking",8.22,Cyber Security Analyst
"statistics, python, data cleaning, sql, api development, power bi, data visualization",7.81,Data Analyst
"sql, machine learning, scikit-learn, hypothesis testing, pandas, feature engineering",8.72,Data Scientist
"machine learning, numpy, python, sql, hypothesis testing, pandas, statistics, scikit-learn, feature engineering, data visualization",9.51,Data Scientist
"hypothesis testing, scikit-learn, numpy, sql, pandas, statistics, feature engineering, data visualization, machine learning",7.59,Data Scientist
"python, algorithms, java, oop, software design, testing, data structures, debugging, problem solving",6.17,Software Developer
"api development, django, web performance, databases, python, java, flask, authentication, system design, sql",6.8,Backend Developer
"flask, django, authentication, node.js, databases, java, api development, system design, python",6.85,Backend Developer
"machine learning, python, reporting, hypothesis testing, statistics, pandas, scikit-learn, sql, data visualization, feature engineering, numpy",6.81,Data Scientist
"reporting, data cleaning, statistics, pandas, data visualization, python",8.89,Data Analyst
"reporting, pandas, power bi, sql, security, excel, data visualization, python, tableau, statistics, data cleaning",7.7,Data Analyst
"kubernetes, azure, networking, terraform, devops, aws, monitoring",7.15,Cloud Engineer
"linux, risk assessment, security, siem, penetration testing, networking, cryptography, incident response",6.1,Cyber Security Analyst
"data cleaning, data visualization, pandas, excel, sql, power bi, statistics, tableau",9.69,Data Analyst
"html, hypothesis testing, web performance, ui design, css, redux, accessibility, responsive design, typescript, react",8.27,Frontend Developer
"firewalls, ethical hacking, incident response, linux, siem, networking, penetration testing, risk assessment",8.77,Cyber Security Analyst
"numpy, python, ui design, scikit-learn, feature engineering, machine learning, data visualization, pandas, hypothesis testing",6.21,Data Scientist
"data visualization, reporting, power bi, sql, python, statistics, tableau, excel",6.99,Data Analyst
"mathematics, data preprocessing, tensorflow, neural networks, nlp, machine learning, pytorch, python",9.1,AI Engineer
"pandas, data visualization, statistics, numpy, scikit-learn, machine learning, sql",9.43,Data Scientist
"devops, networking, azure, kubernetes, aws, ci/cd",8.55,Cloud Engineer
"ethical hacking, risk assessment, statistics, linux, incident response, security, siem, firewalls, cryptography, networking, penetration testing",6.88,Cyber Security Analyst
"accessibility, redux, javascript, react, html, typescript, web performance, ui design, responsive design",8.67,Frontend Developer
"ui design, redux, typescript, react, accessibility, css, responsive design, javascript, web performance, html",6.67,Frontend Developer
"java, system design, django, node.js, api development, databases",8.78,Backend Developer
"kubernetes, monitoring, aws, docker, linux, ci/cd",7.1,Cloud Engineer
"reporting, excel, power bi, pandas, sql, python, risk assessment, statistics, data cleaning, tableau",8.83,Data Analyst
"nlp, tensorflow, computer vision, neural networks, python, data preprocessing, pytorch, machine learning, mathematics",6.48,AI Engineer
"software design, data structures, python, oop, algorithms, java, git, testing",8.24,Software Developer
"risk assessment, cryptography, siem, firewalls, ethical hacking, penetration testing",9.49,Cyber Security Analyst
"accessibility, web performance, css, typescript, ui design, responsive design, html, redux",8.25,Frontend Developer
"docker, linux, aws, terraform, devops, networking, kubernetes, azure",9.53,Cloud Engineer
"aws, kubernetes, monitoring, docker, terraform, linux, networking, azure",7.81,Cloud Engineer
"javascript, responsive design, react, web performance, ui design, typescript, accessibility, firewalls, html, redux, css",7.24,Frontend Developer
"databases, sql, django, system design, authentication, python",8.94,Backend Developer
"firewalls, cryptography, incident response, risk assessment, siem, linux, security",6.01,Cyber Security Analyst
"monitoring, ci/cd, kubernetes, linux, docker, devops",8.11,Cloud Engineer
"ui design, responsive design, accessibility, html, web performance, redux",8.03,Frontend Developer
"hypothesis testing, data visualization, pandas, machine learning, numpy, statistics, scikit-learn, python, sql",9.14,Data Scientist
"redux, web performance, ui design, responsive design, react, typescript",9.42,Frontend Developer
"pandas, machine learning, hypothesis testing, python, api development, data visualization, numpy, sql, feature engineering, scikit-learn",8.02,Data Scientist
"java, api development, authentication, django, node.js, system design, databases, flask",9.87,Backend Developer
"numpy, machine learning, hypothesis testing, scikit-learn, statistics, data visualization, python, pandas",7.03,Data Scientist
"risk assessment, redux, linux, siem, html, penetration testing, security, cryptography, ethical hacking, networking, firewalls",6.99,Cyber Security Analyst
"azure, debugging, terraform, monitoring, kubernetes, linux, devops, aws, docker",6.63,Cloud Engineer
"ui design, redux, typescript, html, responsive design, javascript, react, web performance",8.5,Frontend Developer
"sql, reporting, data cleaning, devops, data visualization, networking, pandas, excel, tableau, statistics, power bi, python",6.29,Data Analyst
"kubernetes, computer vision, deep learning, mathematics, machine learning, terraform, neural networks, pytorch, python",8.57,AI Engineer
"tableau, python, sql, flask, authentication, reporting, data cleaning, power bi",6.3,Data Analyst
"software design, problem solving, git, java, cryptography, algorithms, data structures, python, oop, testing",8.97,Software Developer
"system design, api development, flask, databases, django, node.js",9.83,Backend Developer
"algorithms, java, oop, problem solving, testing, software design, git, python, data structures, debugging",9.56,Software Developer
"web performance, javascript, react, typescript, redux, responsive design, ui design, html, css, accessibility",7.36,Frontend Developer
"sql, devops, statistics, tableau, data visualization, data cleaning, excel",7.25,Data Analyst
"data cleaning, power bi, excel, tableau, python, reporting, system design, pandas",6.38,Data Analyst
"ui design, redux, javascript, responsive design, typescript, accessibility, monitoring, css, web performance",7.54,Frontend Developer
"networking, python, devops, system design, docker, terraform, linux, aws, azure, monitoring, kubernetes",6.6,Cloud Engineer
"python, ui design, css, redux, react, web performance, responsive design, html, typescript, javascript, statistics",6.58,Frontend Developer
"api development, sql, python, system design, algorithms, node.js, django, flask, java",6.93,Backend Developer
"html, web performance, responsive design, typescript, react, javascript, css, accessibility, redux, ui design",8.6,Frontend Developer
"kubernetes, docker, networking, ci/cd, devops, linux, aws",9.05,Cloud Engineer
"risk assessment, ethical hacking, siem, networking, security, cryptography",9.16,Cyber Security Analyst
"neural networks, machine learning, deep learning, data preprocessing, nlp, tensorflow, mathematics, computer vision, python",7.68,AI Engineer
"api development, authentication, django, python, system design, javascript, java, accessibility, databases",7.38,Backend Developer
"machine learning, hypothesis testing, pandas, git, data visualization, numpy, scikit-learn, debugging",6.21,Data Scientist
"aws, devops, docker, ci/cd, azure, terraform, networking, linux, kubernetes, python, feature engineering, monitoring",9.12,Cloud Engineer
"java, algorithms, oop, python, scikit-learn, problem solving, data structures, git, software design",9.12,Software Developer
"reporting, pandas, data visualization, data cleaning, python, excel, statistics, tableau, power bi, sql",8.65,Data Analyst
"sql, penetration testing, scikit-learn, networking, numpy, feature engineering, data visualization, machine learning, hypothesis testing, pandas",7.36,Data Scientist
"testing, data structures, java, algorithms, python, git, software design, debugging, oop, problem solving",6.86,Software Developer
"pytorch, machine learning, tensorflow, mathematics, neural networks, nlp, data preprocessing, computer vision",7.97,AI Engineer
"linux, firewalls, ethical hacking, networking, cryptography, security",6.36,Cyber Security Analyst
"data preprocessing, pytorch, neural networks, mathematics, computer vision, deep learning, nlp, machine learning, tensorflow",8.69,AI Engineer
"networking, firewalls, risk assessment, cryptography, linux, security, siem, ethical hacking, penetration testing",6.43,Cyber Security Analyst
"excel, pandas, statistics, data visualization, sql, networking, tableau, reporting, data cleaning, power bi, python",7.36,Data Analyst
"excel, reporting, python, data visualization, sql, pandas",9.41,Data Analyst
"hypothesis testing, python, numpy, data visualization, machine learning, scikit-learn, sql, statistics, kubernetes, docker, pandas",9.0,Data Scientist
"devops, aws, docker, networking, linux, terraform, monitoring, azure",8.67,Cloud Engineer
"web performance, html, accessibility, responsive design, typescript, javascript",8.65,Frontend Developer
"linux, ethical hacking, siem, incident response, networking, flask, authentication, risk assessment, penetration testing, cryptography, firewalls",6.24,Cyber Security Analyst
"tableau, reporting, python, api development, statistics, data cleaning, excel, power bi, pandas",6.48,Data Analyst
"deep learning, computer vision, machine learning, python, data visualization, data preprocessing, mathematics, nlp, numpy, tensorflow, neural networks, pytorch",9.57,AI Engineer
"accessibility, react, web performance, javascript, responsive design, css, ui design, redux, typescript, html",6.45,Frontend Developer
"neural networks, machine learning, tensorflow, data preprocessing, pytorch, deep learning, nlp, mathematics, python, computer vision",8.86,AI Engineer
"javascript, typescript, css, ui design, python, nlp, react, accessibility, html, redux",8.23,Frontend Developer
"deep learning, computer vision, data preprocessing, machine learning, tensorflow, redux, python, mathematics, nlp, neural networks",7.84,AI Engineer
"nlp, databases, flask, python, system design, django, java, neural networks, api development",7.42,Backend Developer
"system design, flask, python, sql, node.js, java, api development, django",6.38,Backend Developer
"scikit-learn, risk assessment, machine learning, sql, statistics, pandas, feature engineering",7.33,Data Scientist
"web performance, javascript, react, typescript, responsive design, accessibility, ui design, css, redux",7.07,Frontend Developer
"siem, risk assessment, security, cryptography, firewalls, nlp, linux, ethical hacking, incident response",9.51,Cyber Security Analyst
"data visualization, excel, data cleaning, pandas, power bi, tableau, sql, statistics",6.89,Data Analyst
"data cleaning, sql, reporting, pandas, data visualization, power bi, statistics, tableau, python, linux, excel, siem",7.32,Data Analyst
"azure, linux, terraform, ci/cd, kubernetes, networking, docker",6.55,Cloud Engineer
"networking, siem, ethical hacking, risk assessment, linux, firewalls, security",8.48,Cyber Security Analyst
"data visualization, python, sql, power bi, pandas, tableau, data cleaning, excel",6.24,Data Analyst
"data preprocessing, nlp, neural networks, python, deep learning, computer vision, mathematics, pytorch",8.64,AI Engineer
"problem solving, java, algorithms, git, oop, data structures, debugging, python, software design",7.07,Software Developer
"flask, django, authentication, node.js, databases, python, java, api development",7.36,Backend Developer
"kubernetes, mathematics, data preprocessing, computer vision, tensorflow, deep learning, neural networks",9.37,AI Engineer
"linux, docker, devops, ci/cd, azure, aws",8.74,Cloud Engineer
"python, java, data structures, testing, algorithms, software design, problem solving",9.66,Software Developer
"penetration testing, networking, firewalls, machine learning, risk assessment, siem, ethical hacking, security, cryptography",9.69,Cyber Security Analyst
"pytorch, tensorflow, data preprocessing, machine learning, python, computer vision",6.37,AI Engineer
"databases, django, system design, api development, java, sql, node.js, python, flask",7.3,Backend Developer
"cryptography, networking, ethical hacking, risk assessment, linux, siem, incident response, security, penetration testing",8.64,Cyber Security Analyst
"redux, react, risk assessment, ui design, responsive design, css, siem, html",9.73,Frontend Developer
"web performance, html, react, redux, javascript, css, accessibility, ui design",9.28,Frontend Developer
"machine learning, responsive design, ui design, neural networks, typescript, react, html, redux, javascript, web performance, accessibility",9.77,Frontend Developer
"statistics, hypothesis testing, machine learning, python, sql, feature engineering, data visualization, pandas",6.54,Data Scientist
"sql, scikit-learn, networking, statistics, pandas, hypothesis testing, firewalls, machine learning",6.17,Data Scientist
"deep learning, python, data preprocessing, nlp, computer vision, tensorflow, mathematics, pytorch",7.35,AI Engineer
"node.js, java, sql, api development, databases, authentication, django, system design, python, flask",7.91,Backend Developer
"databases, python, system design, django, sql, node.js, api development, authentication, penetration testing",8.86,Backend Developer
"tableau, flask, authentication, java, node.js, sql, databases, python, api development, django, system design",9.39,Backend Developer
"python, api development, node.js, databases, authentication, system design, flask, django, sql, java, penetration testing",6.17,Backend Developer
"problem solving, software design, testing, data structures, java, python, algorithms",8.87,Software Developer
"javascript, system design, flask, databases, sql, authentication, java, api development, node.js, django",6.02,Backend Developer
"scikit-learn, hypothesis testing, statistics, machine learning, pandas, sql, python, feature engineering, data visualization",8.49,Data Scientist
"monitoring, azure, kubernetes, aws, docker, terraform",9.44,Cloud Engineer
"incident response, networking, risk assessment, typescript, firewalls, linux, react, security",9.15,Cyber Security Analyst
"data preprocessing, machine learning, deep learning, siem, computer vision, python, tensorflow, pytorch, mathematics, nlp, penetration testing, neural networks",7.28,AI Engineer
"redux, react, css, javascript, accessibility, web performance, html, typescript, responsive design",8.71,Frontend Developer
"sql, authentication, api development, system design, java, databases, node.js, python, flask",8.49,Backend Developer
"scikit-learn, python, pandas, numpy, statistics, machine learning",7.11,Data Scientist
"data visualization, excel, reporting, statistics, sql, python, tableau, power bi, pandas",7.55,Data Analyst
"java, git, oop, python, debugging, algorithms, software design, testing, numpy, problem solving",7.89,Software Developer
"statistics, pandas, hypothesis testing, feature engineering, machine learning, python, sql, data visualization",8.31,Data Scientist
"cryptography, linux, ethical hacking, security, risk assessment, siem, monitoring",9.62,Cyber Security Analyst
"data preprocessing, python, computer vision, neural networks, machine learning, tensorflow",7.17,AI Engineer
"neural networks, nlp, python, machine learning, data preprocessing, pytorch, deep learning, tensorflow, computer vision",7.06,AI Engineer
"python, git, testing, debugging, software design, algorithms, data structures",9.09,Software Developer
"sql, excel, data cleaning, data visualization, python, statistics, tableau, power bi, pandas, reporting",8.13,Data Analyst
"oop, data structures, cryptography, debugging, problem solving, python, software design, incident response, testing",7.96,Software Developer
"python, testing, java, algorithms, oop, software design",9.0,Software Developer
"css, typescript, react, html, ui design, web performance, accessibility, redux, javascript, responsive design",9.17,Frontend Developer
"data cleaning, power bi, data visualization, reporting, statistics, python, tableau",6.06,Data Analyst
"statistics, python, data visualization, feature engineering, hypothesis testing, sql, machine learning",9.71,Data Scientist
"system design, databases, django, python, authentication, flask, sql, java",9.05,Backend Developer
"machine learning, computer vision, deep learning, nlp, data preprocessing, tensorflow, neural networks, ui design, html, python, mathematics",7.5,AI Engineer
"machine learning, tensorflow, deep learning, python, nlp, data preprocessing, mathematics, computer vision, neural networks, pytorch",6.29,AI Engineer
"python, accessibility, java, databases, system design, node.js, django",8.57,Backend Developer
"databases, node.js, authentication, api development, java, sql",6.91,Backend Developer
"ci/cd, terraform, linux, devops, pytorch, aws, azure, docker, networking, neural networks",8.55,Cloud Engineer
"algorithms, problem solving, testing, data structures, debugging, python, git, java",6.28,Software Developer
"data visualization, hypothesis testing, sql, feature engineering, numpy, machine learning, scikit-learn, statistics",8.08,Data Scientist
"python, statistics, tableau, excel, power bi, data cleaning, sql, reporting, data visualization, pandas, computer vision",8.27,Data Analyst
"node.js, sql, terraform, flask, api development, system design, django, java, databases",9.22,Backend Developer
"statistics, power bi, data cleaning, python, tableau, sql",8.39,Data Analyst
"ui design, javascript, redux, css, accessibility, react, web performance",7.14,Frontend Developer
"data cleaning, power bi, python, excel, statistics, data visualization",9.58,Data Analyst
"api development, sql, node.js, python, system design, flask, authentication, databases, django, java",8.28,Backend Developer
"machine learning, sql, pandas, data visualization, python, feature engineering",9.19,Data Scientist
"python, deep learning, neural networks, mathematics, data preprocessing, pytorch, nlp, machine learning",8.67,AI Engineer
"deep learning, python, computer vision, data preprocessing, neural networks, nlp, machine learning, mathematics, pytorch, tensorflow",8.28,AI Engineer
"databases, flask, python, django, sql, system design, api development, java, pandas",8.67,Backend Developer
"redux, react, responsive design, ui design, javascript, css",9.32,Frontend Developer
"flask, sql, authentication, node.js, system design, databases",9.68,Backend Developer
"debugging, software design, oop, problem solving, data structures, testing",9.13,Software Developer
"monitoring, kubernetes, aws, docker, azure, linux, networking, ci/cd, devops",6.81,Cloud Engineer
"html, css, typescript, flask, web performance, ui design, redux",8.52,Frontend Developer
"data cleaning, statistics, python, data visualization, excel, reporting, pandas",6.75,Data Analyst
"kubernetes, mathematics, devops, computer vision, terraform, docker, networking, azure, ci/cd, aws",6.49,Cloud Engineer
"firewalls, penetration testing, linux, ethical hacking, incident response, siem, risk assessment",8.23,Cyber Security Analyst
"data preprocessing, nlp, pytorch, mathematics, neural networks, python, debugging, software design, computer vision",8.32,AI Engineer
"security, data visualization, statistics, machine learning, python, pandas, sql, scikit-learn, feature engineering",9.77,Data Scientist
"data visualization, ci/cd, python, aws, tableau, reporting, excel, power bi",6.92,Data Analyst
"docker, devops, monitoring, terraform, aws, linux, ci/cd, azure, kubernetes",6.91,Cloud Engineer
"django, flask, api development, databases, node.js, python, authentication, system design",6.86,Backend Developer
"python, machine learning, statistics, feature engineering, scikit-learn, data visualization, pandas",9.86,Data Scientist
"azure, networking, kubernetes, monitoring, linux, terraform, ci/cd, security",6.23,Cloud Engineer
"siem, cryptography, risk assessment, linux, security, networking, firewalls, ethical hacking, penetration testing",6.66,Cyber Security Analyst
"java, api development, databases, node.js, python, django, system design, flask, authentication, sql",9.37,Backend Developer
"penetration testing, incident response, firewalls, statistics, risk assessment, networking, reporting, cryptography, security",8.2,Cyber Security Analyst
"oop, testing, debugging, java, software design, problem solving, python, data structures",6.06,Software Developer
"api development, flask, node.js, sql, python, authentication, java",6.55,Backend Developer
"kubernetes, monitoring, azure, linux, devops, aws, ci/cd, docker, terraform",9.22,Cloud Engineer
"linux, docker, azure, networking, aws, ci/cd, terraform, devops, monitoring, kubernetes",9.09,Cloud Engineer
"databases, django, api development, flask, system design, authentication, java",6.63,Backend Developer
"python, machine learning, data preprocessing, neural networks, deep learning, tensorflow, computer vision",6.7,AI Engineer
"redux, web performance, html, css, javascript, responsive design, react, accessibility, ui design, typescript",8.74,Frontend Developer
"pandas, power bi, data cleaning, python, data visualization, reporting, sql",7.47,Data Analyst
"cryptography, networking, siem, css, incident response, ethical hacking, firewalls, security, linux, risk assessment",6.08,Cyber Security Analyst
"monitoring, azure, terraform, ci/cd, devops, aws",9.23,Cloud Engineer
"node.js, api development, system design, sql, django, java, databases, flask, authentication",8.42,Backend Developer
"hypothesis testing, feature engineering, scikit-learn, statistics, data visualization, numpy, sql, pandas, python",6.46,Data Scientist
"git, java, tableau, python, data structures, problem solving, debugging, algorithms, software design, testing",9.41,Software Developer
"machine learning, deep learning, nlp, data preprocessing, monitoring, neural networks, pytorch, python",9.81,AI Engineer
"statistics, data cleaning, tableau, power bi, pandas, data visualization",7.79,Data Analyst
"ci/cd, aws, networking, devops, azure, terraform, monitoring, linux",9.3,Cloud Engineer
"data visualization, numpy, pandas, scikit-learn, sql, feature engineering, hypothesis testing, statistics",6.7,Data Scientist
"api development, django, sql, node.js, authentication, java, python, system design, databases, flask",9.83,Backend Developer
"python, deep learning, mathematics, tensorflow, machine learning, data preprocessing",7.65,AI Engineer
"sql, reporting, excel, data cleaning, tableau, risk assessment, statistics, python",8.73,Data Analyst
"nlp, computer vision, pytorch, machine learning, tensorflow, neural networks",6.27,AI Engineer
"testing, software design, data structures, debugging, git, oop, python, algorithms, java, ui design, responsive design, problem solving",8.97,Software Developer
"api development, sql, django, node.js, java, system design, authentication",6.18,Backend Developer
"power bi, pandas, data visualization, reporting, python, excel, data cleaning, sql, tableau",9.69,Data Analyst
"kubernetes, aws, monitoring, networking, azure, linux, terraform, devops, docker",8.78,Cloud Engineer
"react, ui design, html, css, typescript, responsive design, web performance, redux, javascript, accessibility",9.82,Frontend Developer
"networking, cryptography, penetration testing, security, siem, ethical hacking, risk assessment, firewalls, linux, incident response",6.34,Cyber Security Analyst
"data cleaning, statistics, tableau, reporting, data visualization, sql, power bi, python, pandas",8.26,Data Analyst
"html, javascript, web performance, react, redux, typescript, css, ui design, accessibility",9.59,Frontend Developer
"python, authentication, statistics, hypothesis testing, feature engineering, numpy, data visualization, system design",8.22,Data Scientist
"penetration testing, security, linux, firewalls, cryptography, risk assessment",8.25,Cyber Security Analyst
"incident response, security, siem, cryptography, networking, penetration testing, firewalls, linux",7.47,Cyber Security Analyst
"siem, security, risk assessment, incident response, networking, firewalls, cryptography",6.26,Cyber Security Analyst
"statistics, data visualization, sql, linux, pandas, feature engineering, machine learning, hypothesis testing, numpy, python",6.85,Data Scientist
"redux, react, html, accessibility, web performance, css, javascript, typescript, responsive design",7.05,Frontend Developer
"typescript, ui design, web performance, css, responsive design, html, react, javascript",9.48,Frontend Developer
"pytorch, python, neural networks, data preprocessing, machine learning, tensorflow, nlp, deep learning",6.27,AI Engineer
"penetration testing, ethical hacking, cryptography, networking, risk assessment, security, firewalls, incident response",6.41,Cyber Security Analyst
"siem, incident response, linux, risk assessment, cryptography, firewalls, ethical hacking, problem solving, penetration testing, java, security",6.81,Cyber Security Analyst
